"ts","scanLastUs","scanMaxUs","scanBudgetUs","scanOverrunCount","queueDepth","queueHighWaterMark","queueCapacity","commandLatencyLastUs","commandLatencyMaxUs"
"2026-02-28T15:30:09.8157136+06:00","1151","4240","500000","0","0","0","16","0","0"
"2026-02-28T15:30:10.8872221+06:00","1153","4240","500000","0","0","0","16","0","0"
"2026-02-28T15:30:11.9535194+06:00","1161","4240","500000","0","0","0","16","0","0"
"2026-02-28T15:30:13.0293737+06:00","1160","4240","500000","0","0","0","16","0","0"
"2026-02-28T15:30:14.1524941+06:00","1161","4240","500000","0","0","0","16","0","0"
"2026-02-28T15:30:15.2569414+06:00","1168","4240","500000","0","0","0","16","0","0"
"2026-02-28T15:30:16.3160439+06:00","4361","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:17.4542510+06:00","1161","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:18.5548070+06:00","1152","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:19.6098741+06:00","1165","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:20.7105556+06:00","1166","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:21.8383545+06:00","1155","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:22.9031278+06:00","1164","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:23.9851051+06:00","1157","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:25.0365791+06:00","4259","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:26.1330233+06:00","1160","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:27.1802986+06:00","1167","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:28.3180844+06:00","1199","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:29.4361889+06:00","2442","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:30.6230448+06:00","1159","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:31.7688790+06:00","1161","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:32.8919038+06:00","1161","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:33.9728560+06:00","1159","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:35.0737357+06:00","1156","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:36.1739822+06:00","1157","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:37.5489193+06:00","1604","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:38.7247122+06:00","1181","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:39.8065435+06:00","1200","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:40.8756496+06:00","1156","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:42.1108088+06:00","1852","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:43.1773521+06:00","1171","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:44.2767365+06:00","1180","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:45.3900927+06:00","1200","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:46.5076302+06:00","1158","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:47.5585990+06:00","1201","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:48.6573692+06:00","1195","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:49.7074516+06:00","1199","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:50.8363351+06:00","1156","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:51.9364416+06:00","1770","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:52.9864676+06:00","1157","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:54.0790630+06:00","1140","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:55.1358774+06:00","1163","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:56.2298378+06:00","1160","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:57.3158561+06:00","1213","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:58.3879643+06:00","1197","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:30:59.4529253+06:00","1212","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:00.6965723+06:00","1199","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:01.8527681+06:00","1216","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:02.9264153+06:00","1157","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:04.0248293+06:00","1164","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:05.1032117+06:00","1151","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:06.1666080+06:00","1157","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:07.2323000+06:00","1161","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:08.3416151+06:00","1190","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:09.4045931+06:00","1834","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:10.9930302+06:00","1210","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:12.1209749+06:00","1169","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:13.3679185+06:00","1160","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:14.4940985+06:00","1199","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:15.6010679+06:00","1199","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:19.6452156+06:00",,,,,,,,,
"2026-02-28T15:31:21.8621746+06:00","1239","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:22.9782432+06:00","1204","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:24.2021805+06:00","1197","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:25.3409464+06:00","1245","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:26.4069177+06:00","1247","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:27.4709951+06:00","1249","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:28.5451931+06:00","1245","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:29.6130583+06:00","1246","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:30.6725661+06:00","1251","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:31.9964833+06:00","1536","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:33.1208216+06:00","3669","16439","500000","0","0","0","16","0","0"
"2026-02-28T15:31:34.2362080+06:00","1210","16439","500000","0","0","0","16","0","0"
