"ts","scanLastUs","scanMaxUs","scanBudgetUs","scanOverrunCount","queueDepth","queueHighWaterMark","queueCapacity","commandLatencyLastUs","commandLatencyMaxUs"
"2026-02-28T15:38:21.4002771+06:00","1193","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:22.5310444+06:00","1197","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:23.5883127+06:00","1184","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:24.6725406+06:00","1195","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:25.8216685+06:00","1192","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:26.9115781+06:00","1187","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:27.9771639+06:00","1199","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:29.0756935+06:00","1188","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:30.2061774+06:00","1188","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:31.3191733+06:00","1198","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:32.6497981+06:00","1189","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:33.7773130+06:00","1185","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:34.8347463+06:00","1197","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:35.9322578+06:00","1194","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:37.0828647+06:00","2411","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:38.1782979+06:00","1193","16439","500000","0","0","1","16","556","5464"
"2026-02-28T15:38:39.2640406+06:00","1193","16439","500000","0","0","1","16","567","5464"
"2026-02-28T15:38:40.4628104+06:00","1224","16439","250000","0","0","1","16","545","5464"
"2026-02-28T15:38:41.5429540+06:00","1192","16439","500000","0","0","1","16","570","5464"
"2026-02-28T15:38:42.6270474+06:00","1192","16439","500000","0","0","1","16","559","5464"
"2026-02-28T15:38:43.7079433+06:00","1192","16439","500000","0","0","1","16","456","5464"
"2026-02-28T15:38:47.7311386+06:00",,,,,,,,,
"2026-02-28T15:38:49.5500857+06:00","1192","16439","500000","0","0","1","16","456","5464"
"2026-02-28T15:38:50.6718629+06:00","1192","16439","500000","0","0","1","16","456","5464"
"2026-02-28T15:38:54.6952400+06:00",,,,,,,,,
"2026-02-28T15:38:56.2278147+06:00","1192","16439","500000","0","0","1","16","456","5464"
"2026-02-28T15:38:57.2953434+06:00","1192","16439","500000","0","0","1","16","456","5464"
"2026-02-28T15:38:58.3612378+06:00","1192","16439","500000","0","0","1","16","456","5464"
"2026-02-28T15:38:59.4815016+06:00","1192","16439","500000","0","0","1","16","456","5464"
"2026-02-28T15:39:00.6124241+06:00","1192","16439","500000","0","0","1","16","456","5464"
"2026-02-28T15:39:01.6895305+06:00","1192","16439","500000","0","0","1","16","455","5464"
"2026-02-28T15:39:02.7527319+06:00","1192","16439","500000","0","0","1","16","1295","5464"
"2026-02-28T15:39:03.8365930+06:00","1233","16439","250000","0","0","1","16","578","5464"
"2026-02-28T15:39:05.9135687+06:00","2710","16439","500000","0","0","1","16","478","5464"
"2026-02-28T15:39:07.0100989+06:00","2710","16439","500000","0","0","1","16","629","5464"
